"","x","y"
"C",6.22379163745791,3.77083134185523
"u.1.6",5.69926530976469,4.18759353342466
"u.1.7",5.79100926639512,3.15448699751869
"u.1.6.1",5.69926530976469,4.18759353342466
"u.1.5",5.60752135313426,5.22070006933064
"u.1.4",5.51577739650384,6.2538066052366
"u.1.3",5.42403343987341,7.28691314114257
"i5",6.18737317621708,7.17736084014177
"u.1.3.1",5.42403343987341,7.28691314114257
"u.1.2",5.33228948324298,8.32001967704855
"u.1.1",5.24054552661255,9.35312621295452
"u.3.10",3.31502907909453,9.68013922451064
"u.3.9",3.04118329141703,8.61273443248744
"u.3.8",2.76733750373953,7.54532964046424
"u.3.7",2.49349171606203,6.47792484844104
"u.3.6",2.21964592838453,5.41052005641783
"i1",1.45091470098123,5.35360642941669
