"","x","y"
"C",4.75761865079403,5.38548931945115
"i1",6.11309699248523,5.81180876819417
"i8",4.76867394289002,7.04947888385504
"i6",2.86576837301254,5.5858726403676
"u.3.6",2.78984298463911,5.48527077771723
"u.3.7",2.8711342480965,5.18002983229235
"u.3.8",2.95242551155388,4.87478888686746
"u.3.9",3.03371677501127,4.56954794144258
"u.3.10",3.11500803846866,4.26430699601769
"u.3.11",3.19629930192605,3.95906605059281
"u.4.10",3.22841082128103,3.99655886089683
"u.4.9",3.05081622865559,4.24723250410435
"u.4.8",2.87322163603015,4.49790614731186
"u.4.7",2.6956270434047,4.74857979051938
"u.4.6",2.51803245077926,4.9992534337269
"u.4.5",2.34043785815381,5.24992707693441
"u.4.4",2.16284326552837,5.50060072014193
"u.4.3",1.98524867290292,5.75127436334945
"u.4.2",1.80765408027748,6.00194800655696
"u.4.1",1.63005948765203,6.25262164976448
"i5",1.0815430036746,9.4902172870934
