"","X_charge","Y_charge"
"C",6.90378009714186,3.79527460411191
"i1",7.95083924662322,2.57638988550752
"i2",2.00489753857255,1.1445899028331
"i3",1.84547964017838,1.38290345901623
"i4",9.31838910328224,9.10921921720728
"i5",9.48896954068914,3.96457945695147
"i6",4.82199006481096,7.99698456423357
"i7",3.39891087729484,1.70983821153641
"i8",8.81039562169462,5.70878132013604
"i9",9.80366718489677,2.58906579809263
"i10",8.64615368889645,2.1792456228286
"i11",6.80778941139579,0.49657495925203
"i12",2.08565749228001,3.88030601432547
"i13",0.577236583922058,6.9397246139124
"i14",0.472157811746001,1.32445179624483
"i15",7.52260190201923,3.57703207293525
"i16",7.00558672659099,5.63962523592636
"i17",0.815598210319877,7.93467142619193
"i18",6.66132642189041,8.46947305370122
"i19",3.54658843250945,1.39451526338235
"i20",7.48127846512944,1.48680414538831
"i21",9.45656193420291,2.7029930241406
"i22",3.22110865265131,5.50475617172197
"i23",9.97555706184357,5.49945588456467
"i24",2.37507506972179,6.43378173466772
"i25",7.77691514929757,6.9515870208852
"i26",9.2226334521547,0.119281872175634
"i27",7.98299942864105,6.00507189752534
"i28",6.38358336407691,6.56907547730953
"i29",3.95058632362634,6.72360393218696
"i30",2.77240231866017,5.14657128835097
"i31",3.347770832479,1.75254032481462
"i32",3.44716783380136,6.54722335748374
"i33",3.00583297619596,0.709809781983495
"i34",6.91109667066485,2.71105946041644
"i35",9.09181032562628,1.30841882200912
"i36",4.49390147347003,5.3760660206899
"i37",8.34217036375776,8.8682961370796
"i38",3.79349011695012,7.37328541930765
"i39",3.68373604724184,3.21355005959049
"i40",7.39059401676059,2.60500761913136
"i41",2.92949349619448,8.96133165340871
"i42",0.294901097659022,8.12342980410904
"i43",6.23420589370653,9.50485267676413
"i44",8.55971557553858,7.54571600817144
"i45",2.43453412782401,1.79906397592276
"i46",5.44884412782267,3.22162956697866
"i47",1.83517968980595,4.73339988151565
"i48",4.47292946046218,0.31474414980039
"i49",4.98944376595318,8.16942946286872
"i50",1.65182794211432,4.74355696467683
"i51",1.4139452832751,4.88304352853447
"i52",6.98907685000449,0.618198129814118
"i53",2.75522177806124,8.89138177037239
"i54",0.0203516893088818,8.01272162934765
"i55",4.6989859547466,8.80151009885594
"i56",8.9495311351493,7.28943320922554
"i57",8.14153654733673,3.61729173688218
"i58",5.35100743407384,6.47772509604692
"i59",6.99576494749635,6.01169113768265
"i60",6.80851651122794,2.27649794658646
"i61",4.91021789610386,6.07623395742849
"i62",0.147540203761309,1.21161186834797
"i63",4.35636903392151,7.87080519367009
"i64",7.08829640643671,4.73793511511758
"i65",1.33166994201019,9.8147686640732
"i66",1.18082851637155,9.67606563819572
"i67",9.59463295759633,9.25079167122021
"i68",3.89765420462936,0.763452230021358
"i69",6.88503755722195,1.7476186924614
"i70",4.04915590770543,2.50029958086088
"i71",2.52526003401726,5.27357367100194
"i72",4.54514697659761,1.00489682052284
"i73",3.06087457109243,3.93575547263026
"i74",7.29961816454306,1.20479892706499
"i75",2.02097260160372,2.28353081271052
"i76",7.91636056266725,4.45948314154521
"i77",8.20374173345044,7.13354797335342
"i78",8.66656606318429,8.59923178795725
"i79",3.94660771824419,0.435551861301064
"i80",8.87889244360849,1.85900426702574
"i81",1.48346423637122,0.601721045095474
"i82",5.67265183432028,5.2791698789224
"i83",9.25543326186016,5.72433113353327
"i84",5.95398728502914,0.472397585399449
"i85",1.08925858512521,6.39233145629987
"i86",0.238205946516246,0.410925878677517
"i87",8.40068068820983,7.52564962022007
"i88",5.07656103000045,1.70950554776937
"i89",8.89624606352299,8.93911976832896
"i90",7.00396282365546,0.0976563501171768
"i91",9.55133034382015,7.12260759435594
"i92",2.59999618632719,3.32303520990536
"i93",7.98568264581263,6.72368863364682
"i94",3.52061114041135,0.497459135949612
"i95",3.56932430528104,4.47225539712235
"i96",5.32587264431641,9.80124257970601
"i97",3.83911017794162,1.45417768042535
"i98",7.07790600368753,8.59145941911265
"i99",0.326338121667504,1.63080904632807
"i100",4.08908754587173,8.30448556458578
"i101",9.54359235009179,1.43602090189233
"i102",6.28721336368471,4.9164961813949
"i103",5.92108530458063,1.0545388283208
"i104",6.84648219263181,6.79211448645219
"i105",3.50308743305504,1.45906886085868
"i106",0.594670425634831,7.84245499875396
"i107",6.84498848393559,3.80098299123347
"i108",6.59691219683737,3.73563063563779
"i109",3.24946293141693,0.788484234362841
"i110",9.07008110079914,4.52784789027646
"i111",5.15066628577188,5.64959266223013
"i112",8.60075526172295,8.0586158670485
"i113",7.19778932398185,2.02087119454518
"i114",9.68074541073292,2.13804196333513
"i115",1.1713904608041,4.69377878354862
"i116",9.08318743342534,2.27440085727721
"i117",6.03677295846865,7.63331334106624
"i118",3.80225038621575,3.02020735107362
"i119",9.26084860693663,2.24668645998463
"i120",9.42930482327938,2.46028007240966
"i121",7.40107968449593,7.85680151777342
"i122",2.70169887924567,3.27297053532675
"i123",6.20008617639542,0.929239690303802
"i124",3.81052637705579,3.72886606957763
"i125",8.29856204567477,5.3722913004458
"i126",8.16010051174089,8.41854564845562
"i127",8.25838350690901,6.62312121130526
"i128",4.69542038626969,4.05811101896688
"i129",5.55198058718815,0.25992892915383
"i130",3.75559331383556,4.63128712493926
"i131",0.236584774684161,7.7062889165245
"i132",4.82866988750175,2.16479506110772
"i133",9.52454245416448,5.32686217222363
"i134",6.86927151866257,0.25391916744411
"i135",4.98969890875742,4.31741634616628
"i136",5.95583612332121,8.83488001069054
"i137",7.1730506257154,7.42418834473938
"i138",8.05799060268328,5.18843860831112
"i139",5.85104616591707,9.77960382355377
"i140",8.44565657200292,0.200264940503985
"i141",0.0549257849343121,9.00474344613031
"i142",4.26130345556885,9.29847851861268
"i143",4.42053220001981,0.711408422794193
"i144",2.6981802820228,6.41220938647166
"i145",5.75399438617751,2.31194406980649
"i146",8.78978257067502,1.89020131714642
"i147",8.6190018733032,3.01940602948889
"i148",2.66588998027146,1.38197037857026
"i149",3.98231914266944,1.01668000919744
"i150",4.8373416159302,1.86442435719073
"i151",4.77117100032046,7.24548146128654
"i152",3.6908916477114,6.68220807099715
"i153",8.80825157044455,5.82016991684213
"i154",9.10489968257025,3.50589867215604
"i155",6.2692850548774,9.09528342075646
"i156",5.9999291296117,1.91494590835646
"i157",9.46570836007595,9.93372179334983
"i158",5.5949635989964,8.34981685969979
