"","x","y"
"C",5.01966509316117,3.73344938457012
"i21",5.07701417431235,4.83122788835317
"i33",6.12952726660296,4.94141909759492
"i34",6.151890642941,4.33169826399535
"i29",7.23499826621264,4.08524243859574
"i24",7.38223465159535,4.08860567724332
"i3",7.36076001310721,4.78766796179116
"i13",8.058237999212,5.47226545168087
"i39",9.36377773294225,6.15705781616271
"i5",9.61935350904241,5.10246987454593
"u.5.8",9.97625614283606,5.67322161514312
"u.5.7",8.97038478570591,5.19346432427743
"u.5.6",7.96451342857576,4.71370703341173
"u.5.5",6.95864207144561,4.23394974254604
"u.5.4",5.95277071431545,3.75419245168034
"u.5.3",4.9468993571853,3.27443516081465
"u.5.2",3.94102800005515,2.79467786994896
"i32",4.16161128552631,3.76283074030653
"u.4.1",4.44277162896469,3.13415914773941
"u.4.2",5.59853248414584,2.49640314490534
"i25",5.84086291026324,2.44218725943938
"i8",5.19257672596723,3.18562969565392
"C1",5.01966509316117,3.73344938457012
