"","X_points","Y_points"
"i1",4.60040393518284,8.46827019471675
"i2",3.82947507547215,3.07850753888488
"i3",5.02865982241929,5.49689169274643
"i4",1.23258282663301,1.68752494035289
"i5",5.44752281624824,5.94785874243826
"i6",1.13985311239958,1.84509332291782
"i7",9.37723838724196,8.23580032447353
"i8",4.37574749812484,5.55963629391044
"i9",7.34851635759696,3.39523406466469
"i10",3.53136593243107,5.35102928755805
"i11",4.47211666731164,4.75397977046669
"i12",1.29980145720765,2.62280916562304
"i13",5.89411210268736,5.13281514402479
"i14",7.20184572972357,6.13872213987634
"i15",2.10027357330546,8.55411893920973
"i16",2.69926230655983,0.765009880997241
"i17",6.17225175490603,8.95510962000117
"i18",9.45765864336863,9.38335133250803
"i19",8.91924961004406,8.56749673606828
"i20",9.80999502586201,4.78654044680297
