"","x","y"
"C",3.64514176174998,4.71465980634093
"i10",3.53136593243107,5.35102928755805
"i8",4.37574749812484,5.55963629391044
"i3",5.02865982241929,5.49689169274643
"i5",5.44752281624824,5.94785874243826
"i13",5.89411210268736,5.13281514402479
"u.10.3",6.16289163396383,5.23703434815009
"u.10.4",6.95635093958117,4.48236979660578
"u.10.5",7.74981024519851,3.72770524506147
"i9",7.34851635759696,3.39523406466469
"u.8.7",7.08433641761076,3.58256450796034
"u.8.8",7.08998334797798,2.54631545714801
"u.8.9",7.0956302783452,1.51006640633568
"u.3.9",6.97357126325369,1.91258035134524
"u.3.10",7.84238434303552,1.31250269827433
"u.3.11",8.71119742281735,0.712425045203418
"u.10.7",9.33672885643318,2.21837614197284
"u.10.6",8.54326955081585,2.97304069351715
"u.10.5.1",7.74981024519851,3.72770524506147
"u.8.7.1",7.08433641761076,3.58256450796034
"u.8.6",7.07868948724354,4.61881355877267
"u.8.5",7.07304255687632,5.655062609585
